Irradiance[W/m^2],Temperature[deg C],Humidity[%],Wind Speed[m/s]
3.06496,-17.07,82.4,0.522
3.48678,-17.05,82.3,0.975
3.93327,-17.01,82.3,0.61
4.35511,-16.97,82.2,0.752
4.91496,-17,82.2,0.422
5.52787,-16.99,82.2,0
6.21392,-16.92,82.2,0
6.78833,-16.88,82.2,0
7.07754,-16.87,82.1,0
7.74829,-16.89,82.1,0
8.76378,-16.89,82.1,0
9.82503,-16.86,82,0
10.6555,-16.85,82.1,0
11.5438,-16.84,82.1,0
12.8896,-16.85,82.1,0
14.2943,-16.82,82,0
15.2479,-16.79,82.1,0
15.7772,-16.79,82.1,0
16.6627,-16.81,82.1,0
18.2601,-16.83,82.1,0.29
19.6309,-16.83,82,0.22
20.9202,-16.84,81.9,0
22.3023,-16.92,81.9,0
23.4989,-17.01,82,0
25.1077,-17.05,82,0
27.2951,-17.08,82.1,0
29.0861,-17.09,82,0
30.6178,-17.1,82,0
32.4154,-17.12,82,0
34.1734,-17.11,81.9,0
36.0383,-17.09,82,0
37.4692,-17.08,82,0
38.1003,-17.06,82,0
39.2211,-17.05,82,0
41.4993,-17.04,82,0
44.5445,-17.03,81.9,0
47.2095,-17.01,81.9,0
48.3949,-16.99,82.1,0
48.7679,-16.98,82.2,0
49.8091,-16.92,82.1,0
51.6413,-16.91,82,0
53.5792,-16.91,82,0
55.2284,-16.91,82,0
56.3576,-16.92,82.1,0
57.3605,-16.99,82.1,0
58.8292,-17.01,82,0
60.3875,-17.01,81.9,0
61.8237,-17.02,81.9,0
63.2945,-17.03,81.9,0
64.8721,-17.05,81.9,0
66.2992,-17.06,81.9,0
67.6438,-17.07,82,0
68.8192,-17.07,81.9,0.045
69.9605,-17.07,81.7,0
71.2002,-17.07,81.7,0.045
72.4019,-17.07,81.7,0.057
73.6208,-17.06,81.9,0
74.8715,-17.05,81.9,0.057
76.2891,-17.04,81.7,0.057
77.5343,-17.03,81.7,0.035
78.716,-17.03,81.7,0
80.775,-17.02,81.9,0
83.6278,-17.01,82,0
85.6365,-17,82.1,0
87.0228,-16.97,82,0
88.5485,-16.91,81.9,0
90.4248,-16.88,82,0.115
92.2462,-16.89,81.8,0.178
94.2247,-16.87,81.5,0.07
96.4272,-16.87,81.8,0
97.7894,-16.85,82.2,0.105
98.2617,-16.85,82.1,0.277
99.379,-16.85,81.8,0.317
101.655,-16.83,81.7,0.092
104.178,-16.8,81.9,0
105.238,-16.81,81.9,0
105.709,-16.81,81.8,0.163
107.893,-16.8,81.6,0.105
112.285,-16.81,81.7,0
116.492,-16.79,82,0.057
119.847,-16.72,81.7,0
123.526,-16.69,81.5,0.035
129.613,-16.68,81.3,0.34
128.33,-16.64,81.2,0.105
130.781,-16.61,81.4,0.602
134.211,-16.61,81.4,0.045
136.703,-16.61,81.3,0.105
140.683,-16.61,81.3,0.245
138.351,-16.61,81.1,0.54
138.38,-16.6,81.1,0.55
142.162,-16.51,81.3,0.327
143.991,-16.42,81.2,0.345
153.897,-16.36,81.5,0
152.179,-16.31,81.8,0
154.874,-16.26,81.7,0
181.455,-16.24,81.3,0.022
195.679,-16.18,81.6,0.103
178.781,-16.13,82.2,0.292
153.518,-16.11,81.3,0.15
177.701,-16.1,81.2,0.23
172.67,-16.1,81.2,0
160.539,-16.05,80.7,0.045
158.489,-16.01,80.3,0
159.517,-16.08,80.1,0.28
129.834,-16.13,79.58,0.317
126.138,-16.17,79.77,0
141.376,-16.18,80.1,0.082
140.022,-16.18,79.59,1.225
126.821,-16.11,79.44,0.893
121.488,-16.12,79.27,1.05
112.286,-16.13,78.96,1.003
112.656,-16.15,79.01,0.72
123.459,-16.15,79.25,0.092
113.31,-16.12,79.69,0
102.717,-16.13,79.54,0
110.119,-16.14,79.64,0.092
122.014,-16.15,79.61,0.787
120.949,-16.13,79.11,0.188
144.098,-16.13,79.24,0
120.119,-16.14,79.54,0
104.89,-16.2,79.34,0.057
109.355,-16.3,78.98,0.29
139.269,-16.31,78.41,0.312
122.451,-16.19,78.42,0.057
125.41,-16.16,78.95,0
153.237,-16.18,79.66,0.035
143.932,-16.2,79.28,0.128
162.207,-16.15,78.91,0.045
214.881,-16.02,79.26,0
205.432,-15.79,79.76,0
174.302,-15.61,80.5,0
145.977,-15.44,81.1,0
167.808,-15.41,81,0
256.034,-15.39,79.95,0
282.933,-15.34,79.85,0
303.177,-15.12,80.6,0
328.219,-14.85,81.2,0
323.028,-14.55,81.8,0
339.999,-14.34,80.8,0
356.122,-14.13,79.07,0
330.879,-13.96,77.3,0
358.538,-14.14,77.28,0.232
373.849,-14.32,75.67,0.807
386.345,-14.46,75.77,1.125
397.577,-14.45,74.82,0.238
406.48,-14.4,74.74,0.772
397.485,-14.6,72.61,1.238
343.574,-14.86,73.28,1.35
424.158,-14.93,73.95,1.213
430.43,-14.68,75.6,0.022
432.248,-14.4,75.19,0.282
375.881,-14.21,72.06,0
276.789,-13.89,71.06,0.447
240.478,-13.59,69.76,0.327
225.924,-13.46,69.78,0.888
296.021,-13.7,69.88,1.05
410.918,-14.19,70.01,1.213
460.889,-14.61,70.48,1.15
483.815,-14.85,71.68,0.887
497.746,-14.97,72.06,0.597
496.647,-15.06,71.71,0.53
500.578,-14.99,71.61,0.518
506.346,-14.94,71.14,0.842
468.884,-15.03,71.09,0.39
416.211,-14.89,70.95,0.103
359.289,-14.64,71.37,0.092
416.423,-14.46,71.23,0.188
518.115,-14.35,69.2,0.165
544.697,-14.1,69.85,0
543.76,-13.81,69.39,0
508.78,-13.62,68.54,0
474.786,-13.31,68.58,0
332.139,-12.93,66.76,0
441.082,-12.8,66.65,0.035
407.971,-12.74,64.82,0.022
288.06,-12.74,63.89,0.277
240.493,-12.95,63.82,1.18
306.617,-13.16,66.18,0.522
404.168,-13.44,66,0.802
432.558,-13.49,64.03,1.003
383.457,-13.51,65.06,0.307
477.064,-13.45,65.49,0
450.324,-13.09,65.82,0.66
384.899,-12.98,65.58,0.022
292.516,-12.81,65.76,0
292.53,-12.77,65.03,0
259.771,-12.75,65.76,0
311.539,-12.69,66.58,0
184.279,-12.62,65.4,0.242
229.18,-12.65,65.1,0.198
234.563,-12.85,66.2,0
115.956,-13.06,66.44,0
117.915,-13.15,67.63,0.022
160.634,-13.12,67.08,1.2
162.287,-13.4,68.49,1.313
169.597,-13.82,68.68,1.138
244.1,-14.04,68.21,0.452
434.174,-14.02,69.15,0.175
436.617,-14.01,69.2,0.22
325.037,-14.09,67.58,0.057
347.827,-14.03,67.81,0.9
369.377,-13.95,69.17,0.56
401.053,-13.81,69.03,0.852
382.735,-13.79,66.4,1.588
383.071,-13.93,66.16,1.425
386.077,-14.12,66.33,1
390.557,-14.24,66.95,0.247
365.501,-14.24,65.15,1.44
336.123,-14.16,65.9,0.505
320.335,-14.03,67.45,0.737
299.62,-14.23,65.37,2.125
284.104,-14.62,65.66,1.863
275.024,-14.8,66.09,1.763
254.144,-14.95,67.89,1.663
235.489,-15.11,68.99,1.488
236.654,-15.21,69.03,1.3
247.83,-15.2,69.91,1
253.228,-15.03,69.84,1.35
256.42,-14.77,70.13,1.115
263.762,-14.7,70.52,0.735
265.793,-14.69,70.26,0.745
266.942,-14.65,69.31,0.08
284.76,-14.54,67.82,0.105
298.268,-14.49,68.06,0.282
319.027,-14.43,68.13,0.88
345.087,-14.43,67.48,1.015
350.245,-14.53,67.37,1.538
358.965,-14.67,66.77,2.113
398.856,-14.88,68.04,1.638
432.724,-15.03,68.62,1.203
415.675,-14.92,69.88,0.15
409.608,-14.72,70.1,0.462
378.459,-14.52,69.48,0.92
343.427,-14.55,67.05,1.463
350.814,-14.65,67.63,0.772
400.674,-14.67,67.86,1.068
405.575,-14.69,66.57,1.55
367.562,-14.69,67.06,1.363
356.889,-14.69,67.59,1.263
337.794,-14.68,67.46,1.513
327.298,-14.64,66.4,1.413
379.584,-14.56,67.11,0.887
377.93,-14.51,67.62,1.775
368.069,-14.66,66.81,1.55
336.628,-14.72,67.14,1.4
316.216,-14.86,66.99,1.4
311.027,-14.9,67.68,1.4
293.46,-15.03,67.5,1.02
294.423,-15.08,68.12,0.64
316.467,-15.12,68.09,0.153
322.624,-15.12,65.84,0.277
331.203,-15.05,65.85,0.507
353.123,-14.94,66.07,0.188
374.128,-14.78,65.9,0.43
383.333,-14.66,64.78,1.075
379.054,-14.53,64.91,0.657
368.002,-14.36,65.39,0.722
343.949,-14.22,66.18,1.05
328.543,-14.24,65.8,1.325
313.564,-14.4,65.75,1.265
303.702,-14.53,65.96,0.842
320.767,-14.7,66.04,0.622
454.043,-14.61,66.83,0
518.258,-14.4,63.98,1.178
515.363,-14.27,63.2,1.138
510.935,-14.26,63.18,0.822
509.245,-14.23,63.02,1.1
504.165,-14.23,61.88,0.965
411.04,-14.31,62.21,0.318
421.6,-14.34,62.82,0.057
502.872,-14.16,62.1,0.57
524.419,-14.1,60.03,0.795
525.268,-14.1,59.43,0.385
527.687,-14.05,60.8,1.19
527.224,-13.94,60.07,0.545
513.739,-13.97,60.65,0.607
512.688,-14.02,60.51,1.513
515.823,-14.12,59.73,1.65
519.669,-14.17,61.42,0.56
520.847,-14.14,60.8,0.965
496.238,-14.05,58.8,1.205
379.732,-13.95,60.29,1.018
523.155,-14.01,59.39,1.513
523.662,-14.02,60.21,1.3
519.638,-14.01,60.02,0.57
518.387,-14,58.1,0.93
488.918,-14,59.13,0.988
440.731,-13.96,59.96,1.563
460.41,-13.8,62.02,1.138
508.116,-13.68,62.96,1.325
510.067,-13.57,60.47,1.25
509.373,-13.72,61.13,1.425
509.993,-13.81,58.17,1.35
512.845,-13.9,59.62,0.467
508.512,-13.86,58.57,0.092
502.941,-13.77,55.8,0.99
502.248,-13.72,56.43,0.07
501.689,-13.32,56.55,0.2
498.555,-12.77,55.82,0
499.007,-12.27,56.29,0
501.425,-11.99,56.02,0.327
500.632,-11.98,54.92,0.53
503.385,-12.24,54.36,0
503.596,-12.21,54.02,0.547
505.97,-12.39,52.77,0.975
503.631,-12.79,54.33,1.065
495.044,-13.23,53.91,1.09
492.808,-13.51,55.33,0.035
493.974,-13.44,55.54,0
495.987,-13.25,54.41,0.697
499.401,-13.43,54.06,1.313
499.079,-13.7,54.6,0.955
497.156,-13.86,55.98,1.195
496.272,-13.91,55.42,1.65
491.87,-13.86,56.22,1.375
486.99,-13.77,57.36,0.47
486.872,-13.75,57.19,0.445
492.452,-13.76,56.47,0.697
495.815,-13.69,57.21,1.125
494.397,-13.41,57.97,0.092
481.873,-13,57.57,0
485.529,-12.58,56.59,0.318
488.045,-12.22,55.88,1.4
488.486,-12.05,54.17,1.6
488.063,-12.33,54.53,0.922
485.76,-12.6,54.79,1.263
483.798,-12.73,55.88,0.9
482.65,-12.73,56.01,0.27
483.093,-12.43,54.51,0
483.181,-11.94,52.95,0.153
482.601,-11.52,53.85,1.05
480.761,-11.17,55.45,0.51
478.7,-11.12,53.78,0.397
477.423,-11.69,51.98,1.053
476.328,-12.12,52.84,1.463
475.111,-12.42,54.88,1.15
472.963,-12.73,55.22,0.867
471.013,-12.82,55.79,1.105
468.882,-12.85,56.96,0.84
468.048,-12.86,56.61,0.717
468.119,-12.82,56.32,0.542
469.053,-12.97,57.22,0.43
468.13,-13.13,55.27,1.215
464.075,-13.22,54.96,0.697
459.833,-13.1,56.76,0
455.986,-12.77,55.19,0.215
456.358,-12.56,54.49,0.367
455.016,-12.52,55.67,0.245
459.016,-12.54,55.19,0.607
461.88,-12.8,54.62,0.16
461.778,-12.98,54.69,0.57
458.513,-12.77,54.27,0.2
454.52,-12.58,55.43,0
